epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,457.949,0.54905,0.34734,0.86803,0.88021,0.88033,0.89423,0.6597,0.89263,0.64633,1.10282,0.000420665,0.000420665,0.000420665
77,464.022,0.56436,0.34492,0.88188,0.90864,0.86107,0.89956,0.65999,0.89464,0.65263,1.0953,0.000415167,0.000415167,0.000415167
78,470.099,0.54538,0.33503,0.86644,0.90829,0.85704,0.89978,0.66758,0.89908,0.71445,1.09285,0.000409669,0.000409669,0.000409669
79,476.198,0.55408,0.33908,0.8728,0.90783,0.86003,0.89971,0.65494,0.88918,0.66555,1.08863,0.000404172,0.000404172,0.000404172
80,482.29,0.52445,0.32992,0.86036,0.90401,0.86183,0.9035,0.65467,0.89656,0.64965,1.09643,0.000398674,0.000398674,0.000398674
81,488.441,0.50933,0.32334,0.85466,0.89294,0.86977,0.90854,0.66798,0.87426,0.68142,1.09118,0.000393176,0.000393176,0.000393176
82,494.597,0.51953,0.32606,0.85536,0.8961,0.87276,0.91174,0.67382,0.87787,0.68409,1.10005,0.000387678,0.000387678,0.000387678
83,500.764,0.52463,0.32505,0.85895,0.88983,0.88299,0.90943,0.66564,0.89515,0.72882,1.11379,0.00038218,0.00038218,0.00038218
84,506.866,0.52838,0.32542,0.86025,0.87705,0.88657,0.9098,0.66686,0.91187,0.70259,1.1121,0.000376683,0.000376683,0.000376683
85,512.927,0.53342,0.32434,0.86802,0.9017,0.88701,0.91178,0.66432,0.89243,0.68369,1.11161,0.000371185,0.000371185,0.000371185
86,519.05,0.50996,0.32048,0.86097,0.90001,0.87731,0.90716,0.66891,0.88314,0.70829,1.10589,0.000365687,0.000365687,0.000365687
87,525.23,0.51429,0.3295,0.84503,0.90994,0.86198,0.90556,0.67431,0.88702,0.73595,1.10741,0.000360189,0.000360189,0.000360189
88,531.353,0.49129,0.30951,0.83769,0.89485,0.87137,0.9028,0.67076,0.87963,0.72533,1.10744,0.000354691,0.000354691,0.000354691
89,537.461,0.49375,0.31105,0.85459,0.88927,0.87298,0.90555,0.67355,0.87985,0.77296,1.10501,0.000349194,0.000349194,0.000349194
90,543.597,0.48602,0.31615,0.8438,0.88098,0.85743,0.90233,0.67167,0.86839,0.73702,1.10773,0.000343696,0.000343696,0.000343696
91,549.729,0.48735,0.30585,0.85934,0.90451,0.85908,0.90694,0.67277,0.86723,0.70822,1.11038,0.000338198,0.000338198,0.000338198
92,555.89,0.4763,0.31353,0.84814,0.9099,0.83622,0.90382,0.66415,0.86916,0.68435,1.12539,0.0003327,0.0003327,0.0003327
93,562.016,0.47883,0.30914,0.84848,0.92398,0.8274,0.90056,0.66735,0.86872,0.67481,1.12342,0.000327202,0.000327202,0.000327202
94,568.143,0.49132,0.30756,0.84725,0.91984,0.82233,0.90111,0.66476,0.89624,0.66326,1.13979,0.000321705,0.000321705,0.000321705
95,574.25,0.47328,0.29261,0.849,0.92047,0.82843,0.90034,0.66008,0.89902,0.66846,1.13863,0.000316207,0.000316207,0.000316207
96,580.37,0.50291,0.32069,0.85564,0.90053,0.84315,0.90025,0.66412,0.87818,0.66651,1.12425,0.000310709,0.000310709,0.000310709
97,586.506,0.48628,0.31354,0.85041,0.90108,0.8603,0.90271,0.66134,0.86519,0.67258,1.11963,0.000305211,0.000305211,0.000305211
98,592.647,0.48339,0.30643,0.84437,0.88551,0.87871,0.90682,0.66703,0.85221,0.64521,1.10835,0.000299713,0.000299713,0.000299713
99,598.821,0.49371,0.30828,0.85558,0.86492,0.88786,0.90365,0.66772,0.86394,0.63802,1.11042,0.000294216,0.000294216,0.000294216
100,605.098,0.47191,0.30085,0.84409,0.86286,0.88404,0.90333,0.66425,0.86021,0.63223,1.10955,0.000288718,0.000288718,0.000288718
101,611.383,0.46838,0.30085,0.85221,0.88381,0.85569,0.90112,0.66475,0.85223,0.63887,1.10837,0.00028322,0.00028322,0.00028322
102,617.865,0.45571,0.2878,0.84625,0.84791,0.90001,0.89041,0.65541,0.85762,0.67649,1.11152,0.000277722,0.000277722,0.000277722
103,624.201,0.48485,0.30029,0.84892,0.85585,0.8891,0.89572,0.66528,0.85475,0.67941,1.10107,0.000272224,0.000272224,0.000272224
104,630.559,0.46689,0.29904,0.83057,0.85929,0.87801,0.89412,0.66469,0.86967,0.69866,1.11435,0.000266727,0.000266727,0.000266727
105,637,0.4551,0.29608,0.83701,0.87115,0.88919,0.90169,0.66852,0.86399,0.67932,1.12798,0.000261229,0.000261229,0.000261229
106,643.507,0.47444,0.2986,0.84824,0.8716,0.87414,0.89899,0.66665,0.86079,0.65189,1.12947,0.000255731,0.000255731,0.000255731
107,649.968,0.47768,0.29826,0.84359,0.86874,0.87627,0.8945,0.66571,0.88035,0.63002,1.13953,0.000250233,0.000250233,0.000250233
108,656.346,0.45793,0.28191,0.83956,0.87973,0.8493,0.88819,0.65211,0.86772,0.65281,1.13103,0.000244735,0.000244735,0.000244735
109,662.758,0.43991,0.28162,0.83493,0.87974,0.8347,0.88837,0.65509,0.85583,0.67082,1.12547,0.000239238,0.000239238,0.000239238
110,669.205,0.4315,0.28027,0.83638,0.87954,0.84854,0.88707,0.65803,0.85906,0.72001,1.11341,0.00023374,0.00023374,0.00023374
111,675.699,0.44934,0.29512,0.84101,0.87414,0.84511,0.88106,0.64929,0.83663,0.71799,1.10559,0.000228242,0.000228242,0.000228242
112,682.099,0.41456,0.26621,0.82766,0.86787,0.86344,0.88049,0.65003,0.83153,0.72238,1.10419,0.000222744,0.000222744,0.000222744
